Step,FedRecover,Retrain,FedEraser,Crab
0,2.302287857,2.304328242,2.238170295,
1,2.207469867,2.279225875,2.126634604,
2,2.075937721,2.229419455,1.998429549,2.21527596
3,2.285645329,2.143101684,1.926563139,2.122876684
4,2.032638067,2.060735957,1.880387593,
5,2.028663473,1.98999774,1.840377174,
6,2.026656818,1.930257165,1.801196273,
7,2.023554894,1.883702361,1.760278723,1.878679355
8,2.018747207,1.842483132,1.719188622,1.84214351
9,2.016926594,1.80140681,1.68022566,
10,2.013923978,1.760313434,1.644144333,
11,2.012804757,1.720031962,1.610033184,
12,2.011477278,1.68204475,1.582909028,1.693926938
13,2.010339735,1.647588353,1.552898858,1.659681097
14,2.00944621,1.616420504,1.528985981,
15,2.008794757,1.588758626,1.503945915,1.596166838
16,2.006729568,1.563764824,1.484756518,1.566243845
17,2.006201134,1.541376047,1.461490898,1.540764411
18,2.004965561,1.519527306,1.445183674,1.517270036
19,2.005170633,1.499914791,1.426478972,
20,2.003908207,1.482371699,1.411466797,
21,2.003104683,1.464886839,1.397662387,
22,2.002122379,1.449798238,1.383107887,
23,2.001945849,1.433991361,1.369138951,
24,1.998548288,1.420164672,1.357107735,
25,1.997045137,1.406328953,1.346651272,
26,1.996453408,1.394231201,1.335613279,
27,1.996068774,1.382043959,1.3188833,1.386225167
28,1.995771992,1.370124394,1.307570812,1.373331044
29,1.995228166,1.356577939,1.294923237,1.366418715
30,1.99446699,1.346456578,1.279028225,
31,1.993994205,1.334501284,1.266359217,
32,1.993331463,1.321228016,1.254101567,1.330071622
33,1.992455229,1.310849335,1.24116644,
34,1.991661687,1.299446963,1.228593792,1.309289866
35,1.989701574,1.288945685,1.220673417,1.291210956
36,1.988038975,1.277650595,1.205244539,
37,1.987179868,1.265900742,1.198935134,
38,1.986696372,1.255672826,1.184108065,1.261341582
39,1.9855438,1.244709346,,
40,1.985666093,1.233845287,,
