Step,FedRecover,colorful-cherry-19 - Train_loss/Crab,drawn-tree-16 - Train_loss/Retrain,lyric-sea-17 - Train_loss/FedEraser
0,2.305576961901450,,2.301409538,2.246412764
1,1.1637474041846100,,2.263075718,2.213335759
2,0.567449341631598,2.220960909,2.221605061,2.16957158
3,0.4487055502831940,2.17367567,2.167020488,2.107037261
4,0.4407558988572820,,2.088009881,2.016573786
5,0.4307330250740050,2.00935439,1.971281688,1.888073143
6,0.5478582481543220,,1.80082201,1.712129199
7,0.4329187138420010,1.685756762,1.566585501,1.496710558
8,0.3957939227629040,1.434307771,1.291005784,1.264996218
9,0.3876878089374970,1.17616727,1.030741465,1.043074293
10,0.3858171949783960,0.956161192,0.829140903,0.861162233
11,0.3855760247550080,0.790959063,0.688200241,0.725118891
12,0.38377611711621300,0.670374118,0.593748422,0.624771738
13,0.38275014981627500,0.586000971,0.52908183,0.550007066
14,0.382618876794974,0.524552313,0.47950861,0.497907899
15,0.3837096917753420,,0.443920157,0.45260142
16,0.38303598875386800,0.430538524,0.414764099,0.418745816
17,0.38099228363070200,,0.393789848,0.389338554
18,0.38097636670702000,0.375185905,0.373269512,0.368211805
19,0.38034955598413900,,0.356551389,0.347378884
20,0.37924080507622800,0.341260943,0.342596479,0.330527294
21,0.3788255544172390,,0.331674579,0.31488169
22,0.38120124654637400,,0.319048556,0.29961509
23,0.3803362766694690,,0.307895728,0.288615452
24,0.37723187833196600,0.295345716,0.301319027,0.277370747
25,0.3796625288410320,0.277743262,0.29295238,0.267730366
26,0.3783595045614570,,0.283896125,0.258792947
27,0.37846736672023900,0.260456801,0.276802719,0.250099348
28,0.37889831896043500,0.249823471,0.271330266,0.242448464
29,0.3752145379160840,,0.263070125,0.23425095
30,0.37954425615155000,,0.258707545,0.226887476
31,0.3770181503560810,0.239769616,0.253906735,0.22248901
32,0.37794112207161100,,0.247568957,0.215664702
33,0.379359786088268,0.219022476,0.240715869,0.210092335
34,0.3767359857964850,,0.237921944,0.205178427
35,0.3768551821510000,,0.230390594,0.199120277
36,0.3756040210525200,,0.228878358,0.193454
37,0.3765944213502940,,0.224333819,0.189878159
38,0.3753754358945620,,0.21997254,0.184774928
39,0.37380957499974300,,0.21600364,
40,0.37608470022678400,,0.212330886,
