Step,FedRecover,Retrain,FedEraser,Crab
0,2.30532771,2.306711257,2.231254661,
1,3.970153767,2.284653642,2.185727106,
2,2.0419761,2.262259295,2.122316543,2.246127852
3,0.900579264,2.236338905,2.029400259,2.212096806
4,0.681335736,2.202946182,1.891877233,2.165546111
5,0.611192986,2.157488883,1.694016233,
6,0.591510845,2.093632209,1.440585346,2.008211292
7,0.586891625,2.000454846,1.175752791,
8,0.585701451,1.864207708,0.952529694,1.672479302
9,0.58391455,1.671680331,0.789354227,1.41746578
10,0.580374787,1.427957929,0.677149558,1.165309966
11,0.58185372,1.173052075,0.597917815,0.950528197
12,0.580265833,0.952265159,0.543935137,0.769007136
13,0.579488253,0.790152849,0.499194049,0.643053397
14,0.576662015,0.677743176,0.464532006,0.559550652
15,0.578104472,0.597059793,0.436924084,0.524628395
16,0.576921702,0.539493532,0.412737902,
17,0.568154164,0.494530415,0.393788473,0.413381086
18,0.573486497,0.459466073,0.376099639,
19,0.569674119,0.432172726,0.359275267,0.372213444
20,0.572068288,0.41012697,0.346160507,
21,0.570769378,0.388470429,0.333848964,
22,0.570563428,0.371776917,0.321304119,0.320775548
23,0.573624033,0.357580424,0.312793032,
24,0.570264428,0.345875348,0.304056684,0.320752167
25,0.569365469,0.334996971,0.293730103,0.27378998
26,0.570211063,0.321458507,0.286973632,
27,0.570386161,0.312415203,0.278074524,
28,0.571413449,0.304795212,0.268862705,
29,0.568416093,0.297261803,0.261128037,0.241966692
30,0.569162912,0.288539041,0.258462736,0.235613903
31,0.567753815,0.280860672,0.2511071,
32,0.568704568,0.273227495,0.245263545,
33,0.569806537,0.266251084,0.238704831,0.225596077
34,0.566610213,0.261609013,0.233116194,
35,0.567985483,0.253056112,0.229512855,0.210546861
36,0.566305881,0.249236384,0.222671336,
37,0.569970657,0.242568909,0.218042728,
38,0.56760344,0.237414346,0.215038454,
39,0.566109203,0.232220476,,
40,0.569538559,0.228354749,,
