Step,FedEraser,Retrain,FedRecover,Crab
1,2.247822833,2.306509402,2.306691706,
2,2.217634225,2.285009471,1.420450269,2.213297188
3,2.178535289,2.262242767,0.537539819,2.159804903
4,2.125472414,2.234658405,3.359355648,
5,2.050143197,2.197843787,0.456260842,1.982816543
6,1.940915339,2.146961543,0.395744313,
7,1.783224832,2.074951327,0.384849245,1.606184077
8,1.569140306,1.969762847,0.374326253,1.308813266
9,1.310926317,1.815872034,0.371164217,1.03101487
10,1.057409433,1.612129562,0.366723081,0.811465304
11,0.852905367,1.369405304,0.361541254,0.650114769
12,0.703909483,1.128399777,0.36137996,0.526279093
13,0.601273734,0.923207308,0.360819691,0.457462538
14,0.526441674,0.771926365,0.35733302,0.417068308
15,0.474405269,0.66127014,0.350726415,
16,0.429597263,0.581327565,0.359228096,0.345343738
17,0.398478357,0.524186148,0.355874071,
18,0.371955067,0.481528341,0.353126661,0.307492219
19,0.349988678,0.443380602,0.355018432,
20,0.330093406,0.415588932,0.354098971,
21,0.312819269,0.389437612,0.35564259,
22,0.301288337,0.370975138,0.35269244,0.242115116
23,0.286874704,0.353852268,0.354994616,
24,0.276112573,0.337881607,0.351922252,0.2332885
25,0.266462729,0.322033877,0.351955187,0.247644018
26,0.257472462,0.314341667,0.355099228,
27,0.246925547,0.300688234,0.349980338,
28,0.239395051,0.290358448,0.350840525,
29,0.23347829,0.281664758,0.350549676,0.202727927
30,0.22500446,0.272269478,0.351213944,0.205475294
31,0.218495241,0.263923613,0.350567744,
32,0.212888072,0.257863962,0.35015039,
33,0.207679824,0.247761059,0.352504681,
34,0.201668709,0.241809793,0.351038223,0.172566498
35,0.192128855,0.234811747,0.352820287,
36,0.192506022,0.231333737,0.353174992,0.178749956
37,0.187894249,0.224517467,0.347981739,0.185714424
38,0.182910489,0.219465446,0.350055086,
39,0.178055003,0.215468313,0.346083898,
40,0.178055003,0.215468313,0.346083898,
